Station ID,Station Name,Lat,Lon,Number of Trips
4488.09,Boerum Pl	& Pacific St,40.688489,-73.99116,9
4488.09,Boerum Pl\t& Pacific St,40.68848905639242,-73.99116039276123,1747
4494.04,Lafayette Ave & St James Pl,40.688515,-73.964763,10
4494.04,Lafayette Ave & St James Pl,40.68851534,-73.9647628,1575
4497.09,Congress St & Hicks St,40.689395,-73.999513,2
4497.09,Congress St & Hicks St,40.6893952,-73.9995126,451
4507.07,Wilson Ave & Moffat St,40.68906,-73.90506,255
4510.04,Greene Ave & Throop Ave,40.689493,-73.942061,1
4510.04,Greene Ave & Throop Ave,40.6894932,-73.942061,897
4513.06,DeKalb Ave & Hudson Ave,40.689888,-73.981013,1574
4513.09,Ashland Pl & Dekalb Ave,40.690065,-73.978776,767
4517.03,Jefferson Ave & Evergreen Ave,40.68989,-73.91458,351
4519.02,Greene Ave & Nostrand Ave,40.6883337,-73.950916,1079
4519.04,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,737
4522.07,State St & Smith St,40.68917,-73.9886,936
4526.01,Grove St & Broadway,40.69047,-73.923511,925
4528.01,DeKalb Ave & Franklin Ave,40.690648,-73.957462,2
4528.01,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,1026
4531.05,Henry St & Atlantic Ave,40.69089272,-73.99612349,1467
4531.05,Henry St & Atlantic Ave,40.690893,-73.996123,4
4546.04,DeKalb Ave & S Portland Ave,40.68981,-73.974931,6
4546.04,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,1314
4546.05,Washington Park,40.691782,-73.97373,1
4546.05,Washington Park,40.6917823,-73.9737299,1017
4550.05,Central Ave & Covert St,40.68929,-73.90951,208
4553.04,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,823
4553.04,Kosciuszko St & Tompkins Ave,40.691283,-73.945242,1
4560.01,Madison St & Evergreen Ave,40.69122,-73.91693,374
4565.04,Schermerhorn St & Court St,40.691029,-73.991834,9
4565.04,Schermerhorn St & Court St,40.69102925677968,-73.99183362722397,1594
4568.01,Van Buren St & Broadway,40.692,-73.92617,262
4582.05,Knickerbocker Ave & Cooper St,40.69081,-73.90448,183
4587.02,Willoughby St & Ashland Pl,40.69178,-73.97877,357
4590.01,Soissons Landing,40.69231660719192,-74.01486575603485,334
4590.01,Soissons Landing,40.692317,-74.014866,7
4591.04,Central Ave & Weirfield St,40.69055,-73.91181,321
4596.05,Duffield St & Willoughby St,40.69221589,-73.9842844,1400
4596.05,Duffield St & Willoughby St,40.692216,-73.984284,5
4596.09,Lawrence St & Willoughby St,40.69236178,-73.98631746,2112
4596.09,Lawrence St & Willoughby St,40.692362,-73.986317,8
4600.09,Bushwick Ave & Linden St,40.69146,-73.92146,356
4605.04,Clinton St & Joralemon St,40.692395,-73.993379,5
4605.04,Clinton St & Joralemon St,40.69239502,-73.99337909,1719
4608.01,Broadway & Kosciuszko St,40.69329,-73.92852,662
4611.03,Willoughby Ave & Hall St,40.69196,-73.965369,7
4611.03,Willoughby Ave & Hall St,40.69196035,-73.96536851,2043
4614.04,Atlantic Ave & Furman St,40.69165183,-73.9999786,1360
4614.04,Atlantic Ave & Furman St,40.691652,-73.999979,45
4617.01,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,865
4620.02,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,1579
4620.02,Adelphi St & Myrtle Ave,40.693083,-73.971789,2
4623.02,Knickerbocker Ave & Halsey St,40.693,-73.90824,223
4628.05,Willoughby St & Fleet St,40.69196566,-73.9813018,1437
4628.07,Myrtle Ave & Fleet Pl,40.693534,-73.981909,1106
4632.10,Central Ave & Woodbine St,40.69296,-73.91605,419
4634.02,Willoughby Ave & Walworth St,40.69331716,-73.95381995,759
4637.06,Fulton St & Adams St,40.692418,-73.989495,17
4637.06,Fulton St & Adams St,40.69241829257847,-73.98949474096298,2488
4640.01,Bushwick Ave & Harman St,40.69356,-73.92524,498
4645.04,Henry St & Remsen St,40.69400964865994,-73.99465128779411,708
4645.04,Henry St & Remsen St,40.69401,-73.994651,3
4645.09,Hicks St & Montague St,40.695128,-73.995951,8
